slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
SR1482_40X_HE_T043_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T044_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T044_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T045_01.czi,1,processed,6,134,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T045_02.czi,1,processed,6,132,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T046_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T048_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T048_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T049_01.czi,1,processed,6,136,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T050_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T051_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T052_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T052_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T053_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T053_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T055_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T055_02.czi,1,processed,6,139,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T056_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T057_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T058_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T058_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T059_01.czi,1,processed,6,124,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T060_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T061_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T061_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T062_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T062_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T063_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T063_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T064_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T064_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T065_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T065_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T066_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T066_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T067_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T068_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T069_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
